SKU,Name,Image,colour1,percent1,colour2,percent2,colour3,percent3
000772104494,"Magnetic Wooden Numbers by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772104494.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,22.0,BROWN,21.0,YELLOW,12.0
000772104760,"Wooden Dinosaur Magnets by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772104760.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,33.0,BLUE,16.0,BROWN,16.0
000772104876,"Wooden Cutting Food","https://dynamic.indigoimages.ca/gifts/000772104876.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,24.0,ORANGE,21.0,YELLOW,13.0
000772104944,"Take-Along Tool Kit","https://dynamic.indigoimages.ca/gifts/000772104944.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,17.0,GREY/WHITE,16.0,ORANGE,14.0
000772105132,"Sandwich Making Set Wooden Play Food by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772105132.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,25.0,BROWN,23.0,ORANGE,15.0
000772105675,"Melissa & Doug Geometric Stacker","https://dynamic.indigoimages.ca/gifts/000772105675.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,15.0,GREY/WHITE,14.0,PINK,14.0
000772105729,"Melissa & Doug Indigo Exclusive Stacking Train by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772105729.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",RED,21.0,PINK,15.0,BLUE,14.0
000772105828,"Shape Sequence Sorting Set","https://dynamic.indigoimages.ca/gifts/000772105828.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,26.0,GREY/WHITE,21.0,GREEN,15.0
000772107259,"Vehicles Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107259.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,20.0,GREY/WHITE,18.0,YELLOW,15.0
814938013830,"PENCIL POUCH LARGE - GREY STROKES by Indigo","https://dynamic.indigoimages.ca/gifts/814938013830.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,88.0
847881004969,"16 Letter R - Silver","https://dynamic.indigoimages.ca/gifts/847881004969.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,89.0
847881005010,"16 Letter W - Silver","https://dynamic.indigoimages.ca/gifts/847881005010.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,83.0
000772107273,"Zoo Animals Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107273.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREEN,40.0,GREY/WHITE,30.0
000772107303,"Pets Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107303.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",YELLOW,48.0
000772107327,"Sound Puzzle - Musical Instruments by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107327.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,65.0
000772107341,"Melissa & Doug Around the House Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107341.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,26.0,BLUE,20.0,YELLOW,18.0
000772107365,"Around the Fire Station Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107365.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,41.0
000772107754,"Farm Cube Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107754.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,28.0,BROWN,27.0,GREEN,11.0
000772107853,"Folding Horse Stable by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107853.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,38.0,PINK,29.0,BROWN,18.0
000772111690,"Classic ABC/123 Block Cart by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772111690.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,25.0,PINK,17.0,RED,16.0
000772111706,"Deluxe Magic Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772111706.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,29.0,GREY/WHITE,25.0,BLACK,14.0
000772112727,"Vehicle Sound Blocks by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772112727.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,37.0,BROWN,37.0
000772112802,"Discovery Magic Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772112802.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,47.0,BROWN,23.0,BLACK,7.0
854303003066,"Blue Silicone Train Spoon  by Oogaa","https://dynamic.indigoimages.ca/gifts/854303003066.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,95.0
882709239994,"Like a Boss Travel Mug  by Indigo","https://dynamic.indigoimages.ca/gifts/882709239994.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,50.0,BLACK,45.0
882709277408,"Monogram Espresso Cup  K  by Indigo","https://dynamic.indigoimages.ca/gifts/882709277408.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,72.0,PINK,20.0,BLACK,6.0
000772112826,"Deluxe Wooden Standing Art Easel by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772112826.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,42.0,BLUE,30.0
000772113182,"Melissa & Doug Band-in-a-Box Hum! Jangle! Shake! by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772113182.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,44.0,PINK,21.0,BLUE,10.0
000772113298,"Deluxe Folding Midieval Castle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772113298.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,51.0,BROWN,24.0,PINK,16.0
000772114868,"Easel Paper Roll (18 X 75') by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772114868.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,63.0,BLUE,28.0
000772116237,"Spill-Proof Paint Cups by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772116237.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,46.0,BLUE,24.0,GREEN,7.0
000772116336,"Dinosaur Stamp Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772116336.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,37.0,BROWN,25.0,PINK,12.0
000772116374,"Rainbow Stamp Pad by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772116374.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,30.0,GREY/WHITE,24.0,PINK,13.0
